TaskName2,RowNumber,ChipNumber,ChipStatus,SpotNumber,Diameter,XOffset,YOffset,Result,DOTAREA,DOTCOUNT,DOTSIZE,FIXTURE,XDEV,YDEV
000001E000288252,0,1,0,1,0.09792514,-0.07836032,0.02603769,True,True,True,True,True,True,True
000001E000288252,0,1,0,6,0.08935769,-0.1422901,0.06521964,False,True,False,True,True,True,True
000001E000288252,0,1,0,9,0.09403554,-0.1677032,0.06565285,False,True,False,True,True,False,False
000001E000288252,0,1,0,20,999.0,999.0,999.0,False,False,False,False,True,True,True
000001E000288252,0,1,0,22,0.08831865,-0.1804676,-0.00501442,False,False,False,True,True,False,False
000001E000288252,0,1,0,23,0.08969853,-0.1904097,0.02061772,False,False,False,True,True,False,False
000001E000288252,0,1,0,31,999.0,999.0,999.0,False,False,True,False,True,True,True
000001E000288252,0,1,0,39,999.0,999.0,999.0,False,False,False,False,True,True,True
000001E000288252,0,1,0,41,0.08716736,-0.1992087,-0.01255596,False,False,True,True,True,False,False
000001E000288252,0,1,0,45,0.09054884,-0.1773808,0.01762915,False,True,False,True,True,False,False
000001E000288252,0,1,0,50,999.0,999.0,999.0,False,False,False,False,True,True,True
000001E000288252,0,1,0,57,0.08934374,-0.1804502,0.04423177,False,False,True,True,True,False,False
000001E000288252,0,1,0,59,0.08792375,-0.1811068,-0.01189232,False,True,True,True,True,False,False
000001E000288252,0,1,0,61,0.09038691,-0.2062042,0.001926661,False,False,True,True,True,False,False
000001E000288252,0,1,0,66,0.08903624,-0.1875854,0.02970695,False,False,True,True,True,False,False
000001E000288252,0,2,0,1,0.0955177,-0.1277771,0.02929497,True,True,True,True,True,True,True
000001E000288252,0,2,0,6,0.08935769,-0.1166477,0.06489635,False,True,False,True,True,True,True
000001E000288252,0,2,0,9,0.09956714,-0.1398363,0.05600858,False,True,False,True,True,False,False
000001E000288252,0,2,0,20,999.0,999.0,999.0,False,False,False,False,True,True,True
000001E000288252,0,2,0,22,0.08831865,-0.1941233,-0.01447201,False,False,False,True,True,False,False
000001E000288252,0,2,0,23,0.100911,-0.1807151,-0.002725124,False,False,False,True,True,False,False
000001E000288252,0,2,0,31,0.0893354,-0.1948884,0.03172159,False,False,False,True,True,False,False
000001E000288252,0,2,0,39,999.0,999.0,999.0,False,False,False,False,True,True,True
000001E000288252,0,2,0,41,999.0,999.0,999.0,False,False,True,False,True,True,True
000001E000288252,0,2,0,45,0.09054884,-0.179343,0.004675627,False,False,False,True,True,False,False
000001E000288252,0,2,0,50,999.0,999.0,999.0,False,False,False,False,True,True,True
000001E000288252,0,2,0,57,0.100512,-0.1796463,0.03468859,False,False,True,True,True,False,False
000001E000288252,0,2,0,59,0.08792375,-0.1651251,-0.01525545,False,False,True,True,True,False,False
000001E000288252,0,2,0,61,0.09038691,-0.2033622,-0.03007364,False,False,False,True,True,False,False
000001E000288252,0,2,0,66,999.0,999.0,999.0,False,False,True,False,True,True,True
000001E000288252,0,3,0,1,0.09776465,-0.09664202,0.02855492,True,True,True,True,True,True,True
000001E000288252,0,3,0,6,0.08935769,-0.1078835,0.05717683,False,True,False,True,True,True,True
000001E000288252,0,3,0,9,0.09956714,-0.133096,0.06262827,False,True,False,True,True,True,True
000001E000288252,0,3,0,20,999.0,999.0,999.0,False,False,False,False,True,True,True
000001E000288252,0,3,0,22,0.08831865,-0.1739838,-0.01680899,False,False,False,True,True,False,False
000001E000288252,0,3,0,23,0.1065172,-0.1842227,-0.009068489,False,False,False,True,True,False,False
000001E000288252,0,3,0,31,0.0893354,-0.1776984,0.03231359,False,False,True,True,True,False,False
000001E000288252,0,3,0,39,0.08814827,-0.2011042,0.01322532,False,False,False,True,True,False,False
000001E000288252,0,3,0,41,0.0884304,-0.2032032,-0.04408979,False,False,False,True,True,False,False
000001E000288252,0,3,0,45,0.09054884,-0.1654561,0.02220488,False,True,False,True,True,False,False
000001E000288252,0,3,0,50,0.08671296,-0.2030277,0.01646042,False,False,False,True,True,False,False
000001E000288252,0,3,0,57,0.100512,-0.1556003,0.03791559,False,False,True,True,True,False,False
